mes,centro,tipo,no_sabe_leer_escribir,sabe_leer_escribir,preescolar_incompleta,preescolar_completa,primaria_incompleta,primaria_completa,secundaria_incompleta,secundaria_completa,bachillerato_incompleto,bachillerato_completo,carrera_tecnica_incompleta,carrera_tecnica_completa,licenciatura_incompleta,licenciatura_completa,maestria_incompleta,maestria_completa,doctorado_incompleto,doctorado_completo,total
2026-01,CEFEREPSI,Publico,0,9,0,0,27,19,8,50,14,16,1,1,4,3,0,1,0,0,153
2026-01,CEFERESO No. 1 Altiplano,Publico,0,4,0,0,23,43,53,172,88,116,1,5,37,60,2,14,1,2,621
2026-01,CEFERESO No. 11 CPS Sonora,Privado (CPS),19,46,0,0,159,265,211,927,304,209,13,24,69,36,1,0,0,0,2283
2026-01,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),22,9,0,0,88,334,191,1044,175,169,0,12,32,72,10,3,0,0,2161
2026-01,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),26,70,0,0,100,300,166,860,191,210,1,30,55,56,3,7,0,1,2076
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),3,12,0,0,62,80,136,354,607,771,0,0,175,66,2,0,0,0,2268
2026-01,CEFERESO No. 15 CPS Chiapas,Privado (CPS),65,0,0,0,126,231,227,539,269,213,0,14,51,50,0,5,1,1,1792
2026-01,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),1,0,0,0,9,5,22,266,155,118,2,18,42,31,3,5,0,0,677
2026-01,CEFERESO No. 17 CPS Michoacan,Privado (CPS),0,817,0,0,116,107,177,442,186,11,0,4,21,39,0,0,0,0,1920
2026-01,CEFERESO No. 18 CPS Coahuila,Privado (CPS),0,36,0,0,140,240,184,645,184,259,72,57,79,65,11,6,0,0,1978
2026-01,CEFERESO No. 4 Noroeste,Publico,6,17,0,0,205,186,206,600,428,458,0,6,0,120,0,3,1,0,2236
2026-01,CEFERESO No. 5 Oriente,Publico,15,23,0,0,87,194,113,549,173,136,1,4,46,33,1,1,0,1,1377
2026-01,CEFERESO No. 7 Nor-Noroeste,Publico,5,1,0,0,18,8,27,47,116,47,0,2,34,6,0,0,0,0,311
2026-01,CEFERESO No. 8 Nor-Poniente,Publico,2,2,0,0,37,27,44,159,238,76,0,0,36,12,0,1,0,0,634
2026-02,CEFEREPSI,Publico,0,6,0,0,27,22,8,53,14,16,1,1,5,3,0,1,0,0,157
2026-02,CEFERESO No. 1 Altiplano,Publico,0,4,0,0,17,40,40,176,84,97,1,5,37,75,2,14,1,2,595
2026-02,CEFERESO No. 11 CPS Sonora,Privado (CPS),19,46,0,0,159,250,208,941,297,212,13,24,69,36,1,0,0,0,2275
2026-02,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),22,7,0,0,88,334,191,1053,175,169,0,12,32,65,13,7,0,0,2168
2026-02,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),26,65,0,0,100,298,166,857,191,209,1,30,55,56,3,7,0,1,2065
2026-02,CEFERESO No. 14 CPS Durango,Privado (CPS),3,12,0,0,60,80,138,352,604,771,0,0,175,66,2,0,0,0,2263
2026-02,CEFERESO No. 15 CPS Chiapas,Privado (CPS),65,0,0,0,126,234,180,537,266,155,0,32,107,56,0,16,1,1,1776
2026-02,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),2,0,0,0,8,9,20,251,154,121,2,19,36,33,4,5,0,0,664
2026-02,CEFERESO No. 17 CPS Michoacan,Privado (CPS),0,841,0,0,117,99,176,435,181,11,0,4,21,39,0,0,0,0,1924
2026-02,CEFERESO No. 18 CPS Coahuila,Privado (CPS),0,37,0,0,146,249,191,643,187,264,77,63,86,64,11,6,0,0,2024
2026-02,CEFERESO No. 4 Noroeste,Publico,6,17,0,0,200,187,210,604,424,429,0,6,33,116,3,0,1,0,2236
2026-02,CEFERESO No. 5 Oriente,Publico,16,35,0,0,87,195,113,549,177,135,1,4,45,33,1,1,0,1,1393
2026-02,CEFERESO No. 7 Nor-Noroeste,Publico,5,3,0,0,18,6,28,56,119,52,0,2,34,7,0,0,0,0,330
2026-02,CEFERESO No. 8 Nor-Poniente,Publico,3,5,0,0,35,29,58,184,250,88,0,0,36,12,0,1,0,0,701
2026-03,CEFEREPSI,Publico,0,6,0,0,27,22,8,52,14,16,1,1,5,3,0,1,0,0,156
2026-03,CEFERESO No. 1 Altiplano,Publico,0,4,0,0,17,40,40,179,93,99,1,5,40,82,2,14,1,2,619
2026-03,CEFERESO No. 11 CPS Sonora,Privado (CPS),19,46,0,0,158,249,211,939,292,212,13,24,68,36,1,0,0,0,2268
2026-03,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),22,6,0,0,88,334,197,1058,175,169,0,12,41,72,13,7,0,0,2194
2026-03,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),27,65,0,0,100,299,171,860,191,210,1,30,55,57,3,7,0,1,2077
2026-03,CEFERESO No. 14 CPS Durango,Privado (CPS),3,12,0,0,64,82,128,360,601,767,0,0,172,66,2,0,0,0,2257
2026-03,CEFERESO No. 15 CPS Chiapas,Privado (CPS),65,0,0,0,126,234,177,537,266,155,0,32,107,56,0,16,1,1,1773
2026-03,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),2,0,0,0,8,10,17,251,147,118,2,18,36,33,4,5,0,0,651
2026-03,CEFERESO No. 17 CPS Michoacan,Privado (CPS),0,908,0,0,107,96,178,430,181,11,0,4,21,39,0,0,0,0,1975
2026-03,CEFERESO No. 18 CPS Coahuila,Privado (CPS),0,37,0,0,146,249,190,646,187,264,77,63,86,64,11,6,0,0,2026
2026-03,CEFERESO No. 4 Noroeste,Publico,5,17,0,0,198,178,215,626,421,432,0,6,33,116,3,0,0,0,2250
2026-03,CEFERESO No. 5 Oriente,Publico,16,22,0,0,86,196,112,552,175,137,1,4,43,33,1,1,0,1,1380
2026-03,CEFERESO No. 7 Nor-Noroeste,Publico,5,5,0,0,19,6,32,59,121,53,0,2,36,7,0,0,0,0,345
2026-03,CEFERESO No. 8 Nor-Poniente,Publico,3,5,0,0,41,32,68,205,265,98,0,0,36,12,0,1,0,0,766
2026-04,CEFEREPSI,Publico,0,10,0,0,27,22,10,53,14,16,1,1,5,3,0,1,0,0,163
2026-04,CEFERESO No. 1 Altiplano,Publico,0,4,0,0,17,40,42,179,98,101,1,5,40,82,2,14,1,2,628
2026-04,CEFERESO No. 11 CPS Sonora,Privado (CPS),19,41,0,0,154,241,206,930,287,206,13,23,66,34,1,0,0,0,2221
2026-04,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),22,6,0,0,85,334,202,1061,175,169,0,12,39,72,13,7,0,0,2197
2026-04,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),27,63,0,0,100,298,173,864,190,210,1,30,55,57,3,7,0,1,2079
2026-04,CEFERESO No. 14 CPS Durango,Privado (CPS),3,12,0,0,63,82,125,353,601,767,0,0,172,66,2,0,0,0,2246
2026-04,CEFERESO No. 15 CPS Chiapas,Privado (CPS),65,0,0,0,126,234,177,537,255,155,0,32,107,56,0,16,1,1,1762
2026-04,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),2,2,0,0,8,10,17,255,147,119,2,18,36,33,4,4,0,0,657
2026-04,CEFERESO No. 17 CPS Michoacan,Privado (CPS),0,992,0,0,112,93,177,427,181,11,0,4,21,39,0,0,0,0,2057
2026-04,CEFERESO No. 18 CPS Coahuila,Privado (CPS),0,26,0,0,146,249,190,646,187,264,77,63,86,64,11,6,0,0,2015
2026-04,CEFERESO No. 4 Noroeste,Publico,5,17,0,0,197,189,210,627,418,416,0,6,56,107,3,0,0,0,2251
2026-04,CEFERESO No. 5 Oriente,Publico,16,93,0,0,88,196,111,556,173,137,1,4,45,33,1,1,0,1,1456
2026-04,CEFERESO No. 7 Nor-Noroeste,Publico,5,0,0,0,19,6,31,58,122,52,0,1,37,8,0,0,0,0,339
2026-04,CEFERESO No. 8 Nor-Poniente,Publico,3,5,0,0,41,32,70,199,266,98,0,0,37,14,0,1,1,0,767
